2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1030                                          
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;             8339;           0;                 0;               0;        8339;0,0                 ;2779,7              ;           3;           3;          1;Terminales                                        ;ALC 1035                                          
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1045                                          
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;            34347;           0;                 0;               0;       34347;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 1052                                          
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 3041                                          
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 918                                           
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC 990                                           
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;               96;         397;                 1;             398;         494;199,0               ;247,0               ;           2;           2;          1;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;              397;        1145;                53;            1198;        1595;52,1                ;69,3                ;          23;          23;          1;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC Idol X                                        
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;            17232;           1;                 0;               1;       17233;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;             1223;        2658;                10;            2668;        3891;23,0                ;33,5                ;         116;         116;          1;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;                8;         134;                 0;             134;         142;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC Pixi 4007                                     
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;            21892;           0;                 0;               0;       21892;0,0                 ;21892,0             ;           1;           1;          1;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;              340;         225;                 1;             226;         566;226,0               ;566,0               ;           1;           1;          1;Terminales                                        ;ALC POP D1                                        
2015-11-16;         47;Alcatel                                           ;Smarthphones y Masivos;               28;           5;                 0;               5;          33;S.C.                ;S.C.                ;           0;           0;          1;Terminales                                        ;ALC T Pop                                         
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;               79;           0;                 0;               0;          79;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1030                                          
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;             6180;           0;                 0;               0;        6180;0,0                 ;4120,0              ;           0;           3;          2;Terminales                                        ;ALC 1035                                          
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1045                                          
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;            32773;           0;                 0;               0;       32773;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 1052                                          
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;               63;           0;                 0;               0;          63;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 3041                                          
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           2;                 1;               3;           3;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 918                                           
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;                0;           3;                 0;               3;           3;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC 990                                           
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;               96;         392;                 1;             393;         489;98,3                ;122,3               ;           6;           8;          2;Terminales                                        ;ALC Idol 2 mini S                                 
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;              341;        1142;                82;            1224;        1565;53,2                ;68,0                ;          23;          46;          2;Terminales                                        ;ALC Idol 3 4,7                                    
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;                1;           0;                 0;               0;           1;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC Idol X                                        
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;            17232;           1;                 0;               1;       17233;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC Pixi 3 3,5                                    
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;             1192;        2563;                43;            2606;        3798;22,5                ;32,7                ;         116;         232;          2;Terminales                                        ;ALC Pixi 3 4,0                                    
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;                8;         135;                 0;             135;         143;-270,0              ;-286,0              ;          -1;          -1;          2;Terminales                                        ;ALC Pixi 4007                                     
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;            21892;           0;                 0;               0;       21892;0,0                 ;43784,0             ;           0;           1;          2;Terminales                                        ;ALC POP 3 5,0                                     
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;              340;         213;                 1;             214;         554;428,0               ;1108,0              ;           0;           1;          2;Terminales                                        ;ALC POP D1                                        
2015-11-17;         47;Alcatel                                           ;Smarthphones y Masivos;               28;           5;                 0;               5;          33;S.C.                ;S.C.                ;           0;           0;          2;Terminales                                        ;ALC T Pop                                         
